#time,accel_x,accel_y,accel_z
263.994170,8142.265362,6365.771101,-69255.033019
263.996754,8586.388927,7254.018232,-67263.184724
263.999338,3256.906145,5625.565159,-70021.128517
264.001923,5329.482782,4737.318029,-69714.690318
264.004507,8142.265362,6957.935855,-68029.280222
264.007091,1924.535449,5625.565159,-69408.252119
264.009675,5181.441594,5773.606348,-69408.252119
264.012259,9030.512492,6365.771101,-67876.061123
264.014843,1036.288319,5033.400406,-70021.128517
264.017427,5921.647536,4293.194464,-69101.813920
264.020012,5329.482782,6513.812290,-70021.128517
264.022596,1480.411884,5773.606348,-70634.004916
264.025180,7402.059420,6957.935855,-67722.842023
264.027764,10214.842000,9622.677246,-68335.718422
264.030348,4145.153275,6069.688724,-69101.813920
264.032932,-592.164754,4145.153275,-70940.443115
264.035517,2516.700203,5477.523971,-70480.785816
264.038101,11251.130318,7402.059420,-66650.308326
264.040685,9622.677246,7550.100608,-66803.527426
264.043269,5625.565159,7550.100608,-69561.471218
264.045853,4293.194464,5477.523971,-70174.347617
264.048437,3849.070898,7402.059420,-68795.375720
264.051021,3404.947333,4589.276840,-70174.347617
264.053606,6217.729913,3997.112087,-68948.594820
264.056190,3552.988522,7846.182985,-69867.909418
264.058755,4589.276840,5329.482782,-68948.594820
264.061320,6661.853478,5773.606348,-69101.813920
264.063885,3701.029710,5921.647536,-70327.566716
264.066450,3256.906145,5773.606348,-69408.252119
264.069015,4737.318029,6217.729913,-70021.128517
264.071580,-19985.560434,1776.494261,-76456.330700
264.074145,28719.990550,12731.542202,-60061.887043
264.076710,5477.523971,10362.883188,-68948.594820
264.079275,-31532.773129,296.082377,-76609.549800
264.081840,17468.860231,10658.965565,-64811.679131
264.084405,18061.024985,12583.501014,-68029.280222
264.086970,-2220.617826,2072.576638,-72779.072310
264.089535,-15396.283594,18209.066173,-69714.690318
264.092100,-148.041188,10066.800811,-67263.184724
264.094665,-5329.482782,-7846.182985,-75230.577904
264.097230,35529.885216,6661.853478,-65118.117330
264.099795,34197.514520,12287.418637,-70940.443115
264.102360,5477.523971,2812.782580,-68182.499322
264.104925,-12583.501014,7550.100608,-67416.403824
264.107490,-13915.871710,3552.988522,-68029.280222
264.110055,3256.906145,5033.400406,-68795.375720
264.112620,25759.166782,5181.441594,-69714.690318
264.115185,15248.242405,7254.018232,-68335.718422
264.117750,4589.276840,5477.523971,-67722.842023
264.120315,-3108.864956,4145.153275,-72625.853210
264.122880,13915.871710,1776.494261,-71706.538613
264.125445,28571.949361,16876.695478,-64198.802732
264.128010,-3997.112087,-4145.153275,-72012.976812
264.130575,-9178.553681,2812.782580,-71553.319513
264.133140,6069.688724,14063.912898,-66803.527426
264.135705,32717.102636,12435.459826,-66190.651027
264.138270,-444.123565,1924.535449,-71859.757712
264.140836,-5033.400406,7994.224174,-68029.280222
264.143401,23686.590144,12139.377449,-66803.527426
264.145966,18949.272115,3552.988522,-68335.718422
264.148531,-7105.977043,1776.494261,-74924.139704
264.151096,5625.565159,10362.883188,-67416.403824
264.153661,19393.395680,10807.006753,-62053.735338
264.156226,0.000000,4293.194464,-75077.358804
264.158791,11695.253884,5625.565159,-67263.184724
264.161344,4145.153275,6957.935855,-69714.690318
264.163897,1628.453072,148.041188,-68642.156621
264.166451,11843.295072,8438.347739,-65118.117330
264.169004,3849.070898,5773.606348,-71093.662214
264.171557,17320.819043,9030.512492,-69714.690318
264.174111,14656.077652,12879.583391,-67569.622924
264.176664,3701.029710,5033.400406,-70634.004916
264.179217,-13767.830521,2368.659014,-67722.842023
264.181771,-33901.432144,2368.659014,-68182.499322
264.184324,28423.908173,7846.182985,-71246.881314
264.186877,75649.047272,6957.935855,-64964.898230
264.189431,-41155.450375,-3701.029710,-69714.690318
264.191984,-37602.461854,7402.059420,-72166.195912
264.194537,27831.743419,5033.400406,-69408.252119
264.197091,48409.468607,5477.523971,-67416.403824
264.199644,-2072.576638,12583.501014,-71553.319513
264.202197,-30940.608376,-1776.494261,-66037.431928
264.204751,-17320.819043,5329.482782,-74770.920605
264.207304,36122.049970,9474.636058,-65271.336430
264.209857,18357.107362,3849.070898,-75230.577904
264.212411,-4737.318029,6365.771101,-66803.527426
264.214964,-19837.519246,6513.812290,-68029.280222
264.217517,3997.112087,-6069.688724,-72625.853210
264.220071,28868.031738,12879.583391,-67722.842023
264.222624,17172.777854,20281.642811,-66037.431928
264.225178,-37306.379477,-5921.647536,-74770.920605
264.227731,-6661.853478,-2072.576638,-70940.443115
264.230284,34197.514520,16136.489536,-62206.954438
264.232838,-1480.411884,-2664.741391,-76762.768900
264.235391,-888.247130,3108.864956,-67722.842023
264.237944,12731.542202,10510.924376,-64658.460031
264.240498,1628.453072,1924.535449,-74464.482406
264.243051,-10658.965565,5329.482782,-70940.443115
264.245604,2072.576638,3997.112087,-66497.089226
264.248158,-1332.370696,-1332.370696,-70021.128517
264.250711,-4441.235652,3404.947333,-73238.729609
264.253264,9030.512492,9622.677246,-66956.746525
264.255818,1628.453072,12583.501014,-71706.538613
264.258371,3997.112087,4293.194464,-67876.061123
264.260924,-8882.471304,3404.947333,-72625.853210
264.263467,-3404.947333,10807.006753,-68335.718422
264.266010,6513.812290,4589.276840,-67876.061123
264.268552,6513.812290,6809.894666,-71859.757712
264.271095,-2812.782580,6217.729913,-69255.033019
264.273638,10214.842000,3997.112087,-67722.842023
264.276180,-6217.729913,4441.235652,-69255.033019
264.278723,-888.247130,9918.759623,-75230.577904
264.281266,5329.482782,7698.141797,-70787.224015
264.283808,-19245.354492,3552.988522,-69101.813920
264.286351,47965.345042,9178.553681,-66037.431928
264.288894,6513.812290,-1924.535449,-75537.016103
264.291436,-13175.665768,24278.754898,-62973.049936
264.293979,-31384.731941,5625.565159,-72625.853210
264.296522,38934.832549,5329.482782,-66037.431928
264.299064,50482.045244,8290.306550,-76149.892501
264.301607,10066.800811,148.041188,-63432.707234
264.304150,-33309.267390,10214.842000,-67876.061123
264.306692,-740.205942,16432.571912,-66956.746525
264.309235,37750.503042,-4589.276840,-71859.757712
264.311778,46336.891969,3997.112087,-69867.909418
264.314320,-13323.706956,11399.171507,-66956.746525
264.316863,-12435.459826,-1628.453072,-67109.965625
264.319406,7994.224174,12731.542202,-66650.308326
264.321948,16580.613101,-2220.617826,-74924.139704
264.324491,21910.095883,-1776.494261,-68335.718422
264.327034,-1332.370696,22206.178260,-60981.201641
264.329576,-9178.553681,6069.688724,-73391.948708
264.332119,11991.336260,-5773.606348,-74158.044206
264.334662,2664.741391,6957.935855,-70940.443115
264.337204,2812.782580,8438.347739,-68795.375720
264.339747,6513.812290,6069.688724,-71706.538613
264.342290,25167.002028,7254.018232,-63432.707234
264.344833,444.123565,-3997.112087,-74004.825107
264.347375,-740.205942,-7698.141797,-72166.195912
264.349918,32717.102636,23390.507767,-60827.982541
264.352461,-3256.906145,8586.388927,-73851.606007
264.355003,6217.729913,3701.029710,-70174.347617
264.357546,16136.489536,15544.324782,-64505.240932
264.360089,5921.647536,13175.665768,-68029.280222
264.362631,8882.471304,296.082377,-67876.061123
264.365167,20725.766376,7105.977043,-69408.252119
264.367703,20873.807564,6661.853478,-69408.252119
264.370240,16432.571912,10510.924376,-68948.594820
264.372776,-13027.624579,5033.400406,-68182.499322
264.375312,-46188.850781,4589.276840,-67722.842023
264.377848,23538.548956,8438.347739,-70634.004916
264.380384,93710.072257,3256.906145,-64811.679131
264.382920,-48261.427418,-8290.306550,-72625.853210
264.385456,-32421.020260,-3256.906145,-74770.920605
264.387992,27831.743419,-2960.823768,-70174.347617
264.390528,44116.274143,10362.883188,-69561.471218
264.393065,1924.535449,6069.688724,-70021.128517
264.395601,-31236.690752,2072.576638,-66650.308326
264.398137,-30348.443622,8290.306550,-72472.634111
264.400673,32124.937883,2664.741391,-66190.651027
264.403209,27387.619854,8142.265362,-74311.263306
264.405745,2812.782580,2812.782580,-65884.212828
264.408281,-32717.102636,-1332.370696,-72779.072310
264.410817,888.247130,-740.205942,-68488.937521
264.413353,39526.997303,17616.901420,-65577.774629
264.415890,-3701.029710,-740.205942,-75537.016103
264.418426,-10362.883188,-2368.659014,-65577.774629
264.420962,-2960.823768,20873.807564,-65577.774629
264.423498,13767.830521,4441.235652,-68948.594820
264.426034,10510.924376,-8586.388927,-74924.139704
264.428570,-1924.535449,9770.718434,-66650.308326
264.431106,4145.153275,16876.695478,-65577.774629
264.433642,19541.436869,8290.306550,-67416.403824
264.436178,-18801.230927,-4293.194464,-75843.454302
264.438715,-27091.537477,2072.576638,-75383.797003
264.441251,24426.796086,15100.201217,-57303.943250
264.443787,-9474.636058,10955.047942,-77988.521696
264.446323,14952.160028,-888.247130,-66956.746525
264.448859,6661.853478,11547.212695,-67722.842023
264.451395,-10362.883188,3701.029710,-73085.510509
264.453931,296.082377,2072.576638,-67722.842023
264.456467,1924.535449,6365.771101,-72932.291410
264.459003,5625.565159,9918.759623,-69101.813920
264.461540,14952.160028,3997.112087,-66343.870127
264.464076,-12287.418637,-1776.494261,-70787.224015
