#time,accel_x,accel_y,accel_z
103.475099,2960.823768,7254.018232,-69255.033019
103.477727,6661.853478,5477.523971,-67569.622924
103.480355,8586.388927,-17172.777854,-68795.375720
103.482983,8586.388927,5477.523971,-68642.156621
103.485611,9918.759623,15248.242405,-65577.774629
103.488239,-1924.535449,2072.576638,-70787.224015
103.490868,1628.453072,-3997.112087,-69867.909418
103.493496,12731.542202,-1036.288319,-65118.117330
103.496124,9030.512492,2220.617826,-68182.499322
103.498752,-6069.688724,19837.519246,-72625.853210
103.501380,18949.272115,-740.205942,-62360.173537
103.504008,-1480.411884,-4737.318029,-73238.729609
103.506653,444.123565,4737.318029,-70021.128517
103.509298,11103.089130,4885.359217,-64352.021832
103.511943,1036.288319,20133.601622,-69255.033019
103.514589,-148.041188,5477.523971,-70480.785816
103.517234,8290.306550,2664.741391,-68335.718422
103.519879,5921.647536,14508.036463,-68795.375720
103.522524,13323.706956,2516.700203,-67109.965625
103.525169,2812.782580,-148.041188,-70327.566716
103.527815,2072.576638,17764.942608,-69561.471218
103.530460,-1628.453072,13175.665768,-68335.718422
103.533105,13767.830521,2516.700203,-65577.774629
103.535750,3997.112087,1480.411884,-69561.471218
103.538395,-1036.288319,19097.313304,-70480.785816
103.541041,1184.329507,16728.654289,-69255.033019
103.543686,9030.512492,-3404.947333,-67569.622924
103.546331,14508.036463,2516.700203,-66497.089226
103.548976,296.082377,3256.906145,-69714.690318
103.551621,2664.741391,5625.565159,-67722.842023
103.554267,6513.812290,2220.617826,-68488.937521
103.556912,6513.812290,22650.301825,-68029.280222
103.559557,-6661.853478,5773.606348,-71859.757712
103.562202,12435.459826,14359.995275,-65730.993728
103.564847,20725.766376,2960.823768,-63892.364533
103.567493,2368.659014,6069.688724,-70327.566716
103.570138,-5773.606348,23242.466579,-70787.224015
103.572783,11547.212695,10658.965565,-65577.774629
103.575428,9770.718434,-10807.006753,-68335.718422
103.578073,-1184.329507,13915.871710,-71246.881314
103.580719,5329.482782,18209.066173,-67109.965625
103.583364,8438.347739,10955.047942,-68029.280222
103.586009,3256.906145,2960.823768,-70327.566716
103.588654,12287.418637,3108.864956,-68948.594820
103.591299,9770.718434,4293.194464,-67416.403824
103.593944,-5033.400406,12879.583391,-67722.842023
103.596590,3108.864956,13767.830521,-68335.718422
103.599235,10510.924376,-7105.977043,-69408.252119
103.601880,4145.153275,3552.988522,-68948.594820
103.604525,-3997.112087,7698.141797,-70021.128517
103.607170,12583.501014,1924.535449,-66956.746525
103.609816,11695.253884,17172.777854,-66037.431928
103.612468,-4145.153275,-6069.688724,-71706.538613
103.615121,2516.700203,592.164754,-68488.937521
103.617774,14211.954086,3108.864956,-69255.033019
103.620426,19541.436869,1184.329507,-64811.679131
103.623079,-3849.070898,7994.224174,-72319.415011
103.625732,2516.700203,8142.265362,-68488.937521
103.628384,13323.706956,5773.606348,-66650.308326
103.631037,1036.288319,1332.370696,-70940.443115
103.633690,5773.606348,13471.748144,-68335.718422
103.636343,6069.688724,1184.329507,-69561.471218
103.638995,4293.194464,14211.954086,-66343.870127
103.641648,3552.988522,7402.059420,-68642.156621
103.644301,148.041188,19689.478057,-70480.785816
103.646953,-2960.823768,27683.702231,-70174.347617
103.649606,4885.359217,1480.411884,-70174.347617
103.652259,7698.141797,444.123565,-68642.156621
103.654911,-2368.659014,4441.235652,-71093.662214
103.657564,11103.089130,1184.329507,-65730.993728
103.660217,10658.965565,-2072.576638,-68642.156621
103.662869,-3256.906145,-444.123565,-72932.291410
103.665522,3552.988522,2368.659014,-68948.594820
103.668175,8438.347739,5625.565159,-66650.308326
103.670828,2072.576638,4441.235652,-68029.280222
103.673480,14656.077652,11103.089130,-67876.061123
103.676133,11991.336260,0.000000,-67263.184724
103.678786,-296.082377,2220.617826,-70787.224015
103.681438,592.164754,9326.594869,-69561.471218
103.684091,11695.253884,-1776.494261,-68335.718422
103.686744,3997.112087,-6957.935855,-70787.224015
103.689396,3701.029710,4885.359217,-66497.089226
103.692049,2072.576638,18505.148550,-67109.965625
103.694702,-2516.700203,-1332.370696,-70327.566716
103.697354,13471.748144,-4441.235652,-67263.184724
103.700007,14063.912898,9474.636058,-66803.527426
103.702660,148.041188,14656.077652,-67416.403824
103.705312,-2516.700203,5477.523971,-69714.690318
103.707965,15248.242405,10955.047942,-68335.718422
103.710618,8734.430116,13175.665768,-67876.061123
103.713271,-3552.988522,3108.864956,-71246.881314
103.715923,7254.018232,7105.977043,-66037.431928
103.718575,8586.388927,9178.553681,-66803.527426
103.721226,592.164754,10510.924376,-70021.128517
103.723877,3108.864956,11843.295072,-68642.156621
103.726529,13619.789333,12879.583391,-66497.089226
103.729180,-740.205942,14359.995275,-71246.881314
103.731831,-1480.411884,1480.411884,-68029.280222
103.734483,17616.901420,2516.700203,-63432.707234
103.737134,-1036.288319,23390.507767,-70327.566716
103.739785,-296.082377,13027.624579,-68948.594820
103.742437,5921.647536,-2368.659014,-68642.156621
103.745088,12287.418637,3108.864956,-66037.431928
103.747739,10214.842000,27831.743419,-67876.061123
103.750391,-3552.988522,7846.182985,-72012.976812
103.753042,2072.576638,-3849.070898,-68642.156621
103.755693,7698.141797,10214.842000,-69101.813920
103.758345,6809.894666,-5625.565159,-67569.622924
103.760996,12435.459826,-740.205942,-65424.555529
103.763647,592.164754,13471.748144,-71400.100414
103.766299,-1776.494261,7698.141797,-70174.347617
103.768950,11695.253884,12287.418637,-64505.240932
103.771601,8290.306550,-1184.329507,-66803.527426
103.774253,5477.523971,27387.619854,-66190.651027
103.776904,3849.070898,7846.182985,-67569.622924
103.779555,1924.535449,888.247130,-68488.937521
103.782207,2516.700203,13915.871710,-69561.471218
103.784858,9918.759623,5921.647536,-66956.746525
103.787509,7698.141797,-5181.441594,-68488.937521
103.790161,13471.748144,20725.766376,-68948.594820
103.792812,-2368.659014,11843.295072,-70174.347617
103.795463,-5921.647536,-3256.906145,-68488.937521
103.798115,12583.501014,8734.430116,-65884.212828
103.800766,3108.864956,-5181.441594,-72932.291410
103.803417,2960.823768,15100.201217,-68488.937521
103.806069,6809.894666,6809.894666,-67416.403824
103.808720,10066.800811,-2812.782580,-68488.937521
103.811371,2368.659014,-4885.359217,-70787.224015
103.814023,8438.347739,11399.171507,-66803.527426
103.816674,4589.276840,5625.565159,-69561.471218
103.819325,-6069.688724,-6069.688724,-72012.976812
103.821977,19689.478057,4293.194464,-65118.117330
103.824625,296.082377,1332.370696,-71706.538613
103.827273,-148.041188,444.123565,-69101.813920
103.829920,3552.988522,2516.700203,-70634.004916
103.832568,9918.759623,-17468.860231,-68335.718422
103.835216,17172.777854,4441.235652,-66956.746525
103.837864,8882.471304,9326.594869,-67722.842023
103.840512,-3997.112087,-2664.741391,-70940.443115
103.843160,7846.182985,-5033.400406,-66956.746525
103.845808,7994.224174,28719.990550,-68182.499322
103.848456,-1924.535449,3108.864956,-70021.128517
103.851104,4145.153275,-3701.029710,-70940.443115
103.853752,7254.018232,6661.853478,-69714.690318
103.856400,9326.594869,9326.594869,-67722.842023
103.859048,1036.288319,10955.047942,-70327.566716
103.861696,296.082377,-13471.748144,-70940.443115
103.864344,10510.924376,-1036.288319,-70940.443115
103.866992,7550.100608,13471.748144,-66803.527426
103.869640,14656.077652,7698.141797,-65577.774629
103.872288,-3701.029710,0.000000,-72932.291410
103.874936,3849.070898,4737.318029,-69408.252119
103.877584,13027.624579,6069.688724,-65730.993728
103.880232,-296.082377,-5921.647536,-70787.224015
103.882879,12731.542202,-5921.647536,-68488.937521
103.885527,12287.418637,24130.713709,-64964.898230
103.888175,-13619.789333,5921.647536,-70634.004916
103.890823,-5033.400406,-2516.700203,-71246.881314
103.893471,16876.695478,11103.089130,-66497.089226
103.896119,6809.894666,-5477.523971,-70787.224015
103.898767,4589.276840,24278.754898,-67569.622924
103.901415,-2220.617826,19541.436869,-68642.156621
103.904063,7994.224174,-21317.931130,-69714.690318
103.906711,13915.871710,8290.306550,-68948.594820
103.909359,1628.453072,25018.960840,-70174.347617
103.912007,-4293.194464,14508.036463,-69255.033019
103.914655,7846.182985,2516.700203,-66037.431928
103.917303,2220.617826,7698.141797,-69714.690318
103.919951,5773.606348,6365.771101,-68182.499322
103.922599,2368.659014,11103.089130,-68795.375720
103.925247,12139.377449,13767.830521,-69101.813920
103.927895,9918.759623,19837.519246,-66650.308326
103.930436,-3404.947333,9178.553681,-68488.937521
103.932976,9474.636058,7402.059420,-67569.622924
103.935517,10362.883188,14359.995275,-66037.431928
103.938058,-592.164754,9326.594869,-69101.813920
103.940599,-5921.647536,9918.759623,-72166.195912
