#time,accel_x,accel_y,accel_z
313.048829,15100.201217,5477.523971,-68795.375720
313.051347,6365.771101,2960.823768,-72012.976812
313.053865,7105.977043,-148.041188,-71246.881314
313.056383,13767.830521,5329.482782,-68948.594820
313.058901,12879.583391,2812.782580,-70174.347617
313.061419,8734.430116,3552.988522,-70787.224015
313.063937,12435.459826,3997.112087,-69867.909418
313.066455,9178.553681,1332.370696,-71246.881314
313.068973,7994.224174,1184.329507,-72012.976812
313.071491,11547.212695,3404.947333,-70327.566716
313.074009,11991.336260,4293.194464,-70021.128517
313.076527,9178.553681,888.247130,-70634.004916
313.079045,7994.224174,3701.029710,-71859.757712
313.081563,11399.171507,2812.782580,-70174.347617
313.084081,11251.130318,1480.411884,-69408.252119
313.086599,9918.759623,3701.029710,-71400.100414
313.089117,14211.954086,3256.906145,-68642.156621
313.091635,8882.471304,2072.576638,-71400.100414
313.094153,3997.112087,2368.659014,-73545.167808
313.096671,7846.182985,148.041188,-72012.976812
313.099189,14952.160028,4589.276840,-68948.594820
313.101707,11843.295072,6217.729913,-69867.909418
313.104225,11991.336260,3552.988522,-70021.128517
313.106743,8142.265362,8438.347739,-72625.853210
313.109288,8142.265362,2516.700203,-72472.634111
313.111834,11399.171507,1480.411884,-69867.909418
313.114379,9622.677246,4589.276840,-70634.004916
313.116925,19245.354492,7254.018232,-63432.707234
313.119470,1184.329507,1480.411884,-72779.072310
313.122016,-8290.306550,-1924.535449,-82738.313784
313.124562,-7402.059420,296.082377,-72472.634111
313.127107,17468.860231,3256.906145,-63432.707234
313.129653,3108.864956,8882.471304,-75537.016103
313.132198,19985.560434,-4145.153275,-72319.415011
313.134744,8142.265362,888.247130,-70327.566716
313.137290,-1628.453072,5181.441594,-67109.965625
313.139835,-9622.677246,1184.329507,-72932.291410
313.142381,444.123565,1628.453072,-73545.167808
313.144926,55663.486838,1776.494261,-64352.021832
313.147472,1924.535449,-1480.411884,-78754.617194
313.150017,-6513.812290,-148.041188,-74464.482406
313.152563,7402.059420,6217.729913,-65730.993728
313.155109,8586.388927,4145.153275,-69561.471218
313.157654,19393.395680,5477.523971,-73391.948708
313.160200,19837.519246,3849.070898,-66803.527426
313.162745,14656.077652,5477.523971,-68795.375720
313.165291,-3256.906145,2516.700203,-75843.454302
313.167836,30792.567187,2960.823768,-65424.555529
313.170382,15248.242405,6069.688724,-72779.072310
313.172928,17764.942608,2960.823768,-68182.499322
313.175473,2812.782580,-444.123565,-73391.948708
313.178019,15692.365970,8734.430116,-67109.965625
313.180564,30496.484810,-2368.659014,-64658.460031
313.183110,-9918.759623,888.247130,-79520.712692
313.185656,12139.377449,2812.782580,-67876.061123
313.188201,23686.590144,7105.977043,-67263.184724
313.190747,4885.359217,4885.359217,-75537.016103
313.193292,15692.365970,5181.441594,-69867.909418
313.195838,26943.496289,3997.112087,-64505.240932
313.198383,5181.441594,-296.082377,-72932.291410
313.200929,16876.695478,-1924.535449,-72012.976812
313.203475,7846.182985,10214.842000,-69714.690318
313.206020,26351.331535,5033.400406,-64505.240932
313.208566,-4737.318029,5625.565159,-74158.044206
313.210971,7402.059420,296.082377,-74464.482406
313.213377,35825.967593,4737.318029,-66037.431928
313.215782,13175.665768,2220.617826,-70174.347617
313.218188,11843.295072,2960.823768,-73085.510509
313.220594,38342.667796,2960.823768,-64352.021832
313.222999,-15396.283594,6661.853478,-77222.426198
313.225405,-14063.912898,-2368.659014,-67416.403824
313.227810,42931.944636,8882.471304,-65884.212828
313.230216,48705.550984,8882.471304,-67109.965625
313.232621,-1184.329507,3404.947333,-69408.252119
313.235027,-57291.939911,-1184.329507,-78448.178995
313.237432,17912.983796,15692.365970,-70940.443115
313.239838,68987.193794,10807.006753,-69101.813920
313.242243,34345.555709,6217.729913,-66497.089226
313.244649,-55219.363273,-7994.224174,-75230.577904
313.247055,-41155.450375,5329.482782,-70021.128517
313.249460,28571.949361,6069.688724,-74158.044206
313.251866,65434.205273,1776.494261,-64505.240932
313.254271,-8142.265362,-592.164754,-74158.044206
313.256677,-34197.514520,3997.112087,-70940.443115
313.259082,2368.659014,5773.606348,-73851.606007
313.261488,44708.438897,8142.265362,-68795.375720
313.263893,22946.384202,3701.029710,-69255.033019
313.266299,-10807.006753,1036.288319,-70634.004916
313.268705,-28275.866984,4441.235652,-75537.016103
313.271110,21910.095883,-3108.864956,-71093.662214
313.273516,23686.590144,11251.130318,-72319.415011
313.275921,27535.661042,4441.235652,-62666.611736
313.278327,-17616.901420,8142.265362,-78601.398095
313.280732,17024.736666,-888.247130,-73545.167808
313.283138,22798.343014,7994.224174,-65424.555529
313.285543,1036.288319,-1924.535449,-68029.280222
313.287949,-7994.224174,3256.906145,-77528.864398
313.290355,14211.954086,2812.782580,-67876.061123
313.292760,15248.242405,-888.247130,-70174.347617
313.295166,-888.247130,3404.947333,-75230.577904
313.297571,19689.478057,1924.535449,-65118.117330
313.299977,-7846.182985,592.164754,-76762.768900
313.302382,4589.276840,2960.823768,-71400.100414
313.304788,13175.665768,7994.224174,-70021.128517
313.307254,1184.329507,4589.276840,-70634.004916
313.309720,2664.741391,-2220.617826,-69867.909418
313.312186,-5625.565159,740.205942,-78448.178995
313.314652,31236.690752,11251.130318,-67722.842023
313.317118,26351.331535,1332.370696,-68335.718422
313.319585,-15840.407159,-9622.677246,-75690.235202
313.322051,8882.471304,3552.988522,-60827.982541
313.324517,-3256.906145,8734.430116,-80746.465489
313.326983,27979.784608,8734.430116,-78907.836294
313.329449,15248.242405,-10066.800811,-59908.667944
313.331915,-61141.010809,6513.812290,-78754.617194
313.334381,21614.013506,5181.441594,-69408.252119
313.336847,79350.076982,1776.494261,-67569.622924
313.339313,39230.914926,8882.471304,-65577.774629
313.341780,-35233.802839,-592.164754,-72319.415011
